city
"FOLSOM, CA"
"CYPRESS, TX"
"OAKLAND, CA"
"THE VILLAGES, FL"
"MODESTO, CA"
"LONG BEACH, CA"
"PEORIA, AZ"
"EDMOND, OK"
"AUGUSTA, GA"
"WILMINGTON, NC"
"BRADENTON, FL"
"FRISCO, TX"
"ALBUQUERQUE, NM"
"CLARKSVILLE, TN"
"CHESAPEAKE, VA"
"GARLAND, TX"
"MCKINNEY, TX"
"SURPRISE, AZ"
"EVANSVILLE, IN"
"CUMMING, GA"
"READING, PA"
"LAREDO, TX"
"CHATTANOOGA, TN"
"MURFREESBORO, TN"
"HONOLULU, HI"
"SAINT AUGUSTINE, FL"
"TOPEKA, KS"
"GREEN BAY, WI"
"KANSAS CITY, KS"
"BROWNSVILLE, TX"
"FLINT, MI"
"PUEBLO, CO"
"YOUNGSTOWN, OH"
"SALEM, OR"
"FREDERICKSBURG, VA"
"COLUMBUS, GA"
"ELK GROVE, CA"
"ROANOKE, VA"
"CONROE, TX"
"JACKSON, MS"
"MELBOURNE, FL"
"SUGAR LAND, TX"
"SYRACUSE, NY"
"SIOUX FALLS, SD"
"ROCKFORD, IL"
"FORT COLLINS, CO"
"LITTLETON, CO"
"OGDEN, UT"
"MACON, GA"
"EUGENE, OR"
"SOUTH BEND, IN"
"HARRISBURG, PA"
"NORFOLK, VA"
"SUMMERVILLE, SC"
"HUMBLE, TX"
"FONTANA, CA"
"ANAHEIM, CA"
"SILVER SPRING, MD"
"CANTON, OH"
"TRENTON, NJ"
"ROUND ROCK, TX"
"ROSEVILLE, CA"
"ERIE, PA"
"CHARLESTON, SC"
"BEND, OR"
"LANSING, MI"
"HENRICO, VA"
"SPRING HILL, FL"
"BOCA RATON, FL"
"MADISON, WI"
"WEST PALM BEACH, FL"
"TOMS RIVER, NJ"
"BROOKLYN, NY"
"LAFAYETTE, LA"
"BROKEN ARROW, OK"
"OVERLAND PARK, KS"
"BEAVERTON, OR"
"SAGINAW, MI"
"ANCHORAGE, AK"
"TYLER, TX"
"OLYMPIA, WA"
"ALPHARETTA, GA"
"FREMONT, CA"
"GAINESVILLE, FL"
"PALM BAY, FL"
"FORT LAUDERDALE, FL"
"DECATUR, GA"
"MORENO VALLEY, CA"
"MIDLAND, TX"
"LANCASTER, CA"
"VERO BEACH, FL"
"MYRTLE BEACH, SC"
"NAPERVILLE, IL"
"NEW BRAUNFELS, TX"
"MERIDIAN, ID"
"WARREN, MI"
"GRAND PRAIRIE, TX"
"HUNTINGTON BEACH, CA"
"SAN BERNARDINO, CA"
"SANTA FE, NM"
"SANTA ROSA, CA"
"KILLEEN, TX"
"PALMDALE, CA"
"NAMPA, ID"
"SCHENECTADY, NY"
"GEORGETOWN, TX"
"YORK, PA"
"CHULA VISTA, CA"
"BOYNTON BEACH, FL"
"CORONA, CA"
"SAN TAN VALLEY, AZ"
"SANTA ANA, CA"
"CEDAR RAPIDS, IA"
"VISALIA, CA"
"ODESSA, TX"
"KALAMAZOO, MI"
"LAS CRUCES, NM"
"OCEANSIDE, CA"
"MISSOURI CITY, TX"
"PEARLAND, TX"
"CONCORD, NC"
"INDEPENDENCE, MO"
"NEWPORT NEWS, VA"
"ARVADA, CO"
"CARY, NC"
"PALM COAST, FL"
"METAIRIE, LA"
"ABILENE, TX"
"BEAUMONT, TX"
"BUCKEYE, AZ"
"OLATHE, KS"
"LAKE CHARLES, LA"
"HAMPTON, VA"
"IRVING, TX"
"DULUTH, MN"
"PORT CHARLOTTE, FL"
"HIALEAH, FL"
"SAINT CHARLES, MO"
"RIO RANCHO, NM"
"ALEXANDRIA, VA"
"WHITTIER, CA"
"NEWARK, DE"
"LEXINGTON, SC"
"IRVINE, CA"
"COLUMBIA, TN"
"LANCASTER, PA"
"NEW PORT RICHEY, FL"
"WACO, TX"
"MESQUITE, TX"
"PEORIA, IL"
"BILLINGS, MT"
"PUYALLUP, WA"
"PANAMA CITY, FL"
"VICTORVILLE, CA"
"AURORA, IL"
"NORTH CHESTERFIELD, VA"
"GRAND JUNCTION, CO"
"GAINESVILLE, GA"
"SPARKS, NV"
"CLOVIS, CA"
"BALTIMORE, MD"
"MISSION, TX"
"ASHEVILLE, NC"
"MCALLEN, TX"
"RIVERVIEW, FL"
"APPLETON, WI"
"RANCHO CUCAMONGA, CA"
"DELTONA, FL"
"VENICE, FL"
"LEHIGH ACRES, FL"
"SAN ANGELO, TX"
"NORMAN, OK"
"DOUGLASVILLE, GA"
"MENIFEE, CA"
"SIMPSONVILLE, SC"
"FORT MILL, SC"
"ROCHESTER, MN"
"GOODYEAR, AZ"
"FLORISSANT, MO"
"MCDONOUGH, GA"
"MILTON, FL"
"YUMA, AZ"
"MURRIETA, CA"
"ESCONDIDO, CA"
"LIVONIA, MI"
"MIDLOTHIAN, VA"
"COLUMBIA, MO"
"PARKER, CO"
"CLEARWATER, FL"
"MUSKEGON, MI"
"DAVENPORT, FL"
"RENTON, WA"
"CLERMONT, FL"
"EDINBURG, TX"
"ALLEN, TX"
"STERLING HEIGHTS, MI"
"BAYTOWN, TX"
"WICHITA FALLS, TX"
"SPRINGFIELD, IL"
"AIKEN, SC"
"WOODBRIDGE, VA"
"TRACY, CA"
"ANDERSON, SC"
"DENTON, TX"
"HOLLYWOOD, FL"
"GASTONIA, NC"
"TEMECULA, CA"
"DALLAS, GA"
"LONGMONT, CO"
"COVINGTON, GA"
"WINTER HAVEN, FL"
"TOMBALL, TX"
"BOWLING GREEN, KY"
", TX"
"THORNTON, CO"
"LEANDER, TX"
"STONE MOUNTAIN, GA"
"LAKEWOOD, CO"
"PFLUGERVILLE, TX"
"BETHLEHEM, PA"
"LAKE WORTH, FL"
"CARROLLTON, TX"
"WILLIAMSBURG, VA"
"SPARTANBURG, SC"
"SIMI VALLEY, CA"
"EVERETT, WA"
"HOMESTEAD, FL"
"SALINAS, CA"
"HAYWARD, CA"
"LEES SUMMIT, MO"
"JACKSON, MI"
"DECATUR, IL"
"CHARLOTTESVILLE, VA"
"GREER, SC"
"SAINT CLOUD, FL"
"CARMEL, IN"
"NORTH PORT, FL"
"YUKON, OK"
"HIGH POINT, NC"
"ACWORTH, GA"
"PASADENA, TX"
"VALLEJO, CA"
"OXNARD, CA"
"SUFFOLK, VA"
"APOPKA, FL"
"CENTENNIAL, CO"
"NEWNAN, GA"
"SLIDELL, LA"
"BELLEVUE, WA"
"FRANKLIN, TN"
"TORRANCE, CA"
"ALLENTOWN, PA"
"TEMPE, AZ"
"LOVELAND, CO"
"YAKIMA, WA"
"DAVENPORT, IA"
"MOORESVILLE, NC"
"SPRINGFIELD, OH"
"FAIRFIELD, CA"
"ARLINGTON, VA"
"CHARLESTON, WV"
"LAFAYETTE, IN"
"JOLIET, IL"
"FISHERS, IN"
"ANN ARBOR, MI"
"WESLEY CHAPEL, FL"
"BELLINGHAM, WA"
"KINGSPORT, TN"
"ROCK HILL, SC"
"MADISON, AL"
"DEARBORN, MI"
"BLOOMINGTON, IN"
"ANTIOCH, CA"
"PEMBROKE PINES, FL"
"LAWTON, OK"
"SAINT GEORGE, UT"
"HEMET, CA"
"LAKE HAVASU CITY, AZ"
"LONGVIEW, TX"
"GARY, IN"
"VACAVILLE, CA"
"GARDEN GROVE, CA"
"BATTLE CREEK, MI"
"JOHNSON CITY, TN"
"KENNEWICK, WA"
"GULFPORT, MS"
"BOULDER, CO"
"LEAGUE CITY, TX"
"KENT, WA"
"NEWARK, NJ"
"BROOMFIELD, CO"
"ELGIN, IL"
"SANDY, UT"
"REDDING, CA"
"TEMPLE, TX"
"CONCORD, CA"
"HAMILTON, OH"
"CONYERS, GA"
"BELLEVILLE, IL"
"MECHANICSVILLE, VA"
"FORT SMITH, AR"
"JACKSONVILLE, NC"
"PHILADELPHIA, PA"
"MOUNT PLEASANT, SC"
"SNELLVILLE, GA"
"MARYVILLE, TN"
"ALBANY, NY"
"MUNCIE, IN"
"ELKHART, IN"
"WOODSTOCK, GA"
"CHEYENNE, WY"
"HIGHLANDS RANCH, CO"
"TERRE HAUTE, IN"
"LYNCHBURG, VA"
"FLORENCE, SC"
"LEWISVILLE, TX"
"MANSFIELD, OH"
"EL CAJON, CA"
"ANDERSON, IN"
"PUNTA GORDA, FL"
"JACKSON, TN"
"O FALLON, MO"
"MIRAMAR, FL"
"SANTA MARIA, CA"
"ORMOND BEACH, FL"
"KENOSHA, WI"
"GREENWOOD, IN"
"BOTHELL, WA"
"CASTLE ROCK, CO"
"BRANDON, MS"
"SANTA BARBARA, CA"
"RICHARDSON, TX"
"ORANGE, CA"
"ROSWELL, GA"
"CHAPEL HILL, NC"
"LITHONIA, GA"
"WARNER ROBINS, GA"
"FORT PIERCE, FL"
"MARICOPA, AZ"
"WEST CHESTER, PA"
"KENNESAW, GA"
"ATHENS, GA"
"CARLSBAD, CA"
"BUFORD, GA"
"VALDOSTA, GA"
"CLAYTON, NC"
"PRESCOTT, AZ"
"BOWIE, MD"
"WINTER GARDEN, FL"
"RAPID CITY, SD"
"DOTHAN, AL"
"APEX, NC"
"CLEVELAND, TN"
"EASTON, PA"
"PLAINFIELD, IL"
"DAYTONA BEACH, FL"
"MONTGOMERY, TX"
"GREELEY, CO"
"JUPITER, FL"
"FAYETTEVILLE, AR"
"WORCESTER, MA"
"CANTON, GA"
"VALPARAISO, IN"
"FULLERTON, CA"
"SPOKANE VALLEY, WA"
"HARLINGEN, TX"
"BESSEMER, AL"
"DANVILLE, VA"
"SALISBURY, NC"
"PASADENA, CA"
"ALBANY, GA"
"SPRINGFIELD, MA"
"MISSION VIEJO, CA"
"CHICO, CA"
"WEST JORDAN, UT"
"KOKOMO, IN"
"MANTECA, CA"
"VICTORIA, TX"
"JONESBORO, AR"
"BURLINGTON, NC"
"SAINT JOSEPH, MO"
"LOGANVILLE, GA"
"BRICK, NJ"
"HESPERIA, CA"
"DULUTH, GA"
"SUMTER, SC"
"FAIRFAX, VA"
"SUWANEE, GA"
"WARWICK, RI"
"STATESVILLE, NC"
"TUSCALOOSA, AL"
"FORNEY, TX"
"LIMA, OH"
"MONROE, LA"
"GRIFFIN, GA"
"JONESBORO, GA"
"HUNTERSVILLE, NC"
"BLOOMINGTON, IL"
"AUBURN, WA"
"NORTH LITTLE ROCK, AR"
"BREMERTON, WA"
"SIOUX CITY, IA"
"WESTERVILLE, OH"
"ONTARIO, CA"
"ORANGE PARK, FL"
"HILLSBORO, OR"
"HOT SPRINGS NATIONAL PARK, AR"
"WEST VALLEY CITY, UT"
"WASILLA, AK"
"INDIO, CA"
"WARREN, OH"
"SAINT PETERS, MO"
"WAKE FOREST, NC"
"MERCED, CA"
"BAY CITY, MI"
"LAND O LAKES, FL"
"TROY, MI"
"ROCKWALL, TX"
"PORTSMOUTH, VA"
"MISSOULA, MT"
"DELAND, FL"
"CORAL SPRINGS, FL"
"LIVERMORE, CA"
"TRAVERSE CITY, MI"
"WEATHERFORD, TX"
"JOHNSTOWN, PA"
"DELRAY BEACH, FL"
"HOLLAND, MI"
"MADERA, CA"
"GADSDEN, AL"
"MECHANICSBURG, PA"
"NOBLESVILLE, IN"
"MEDFORD, OR"
"ROGERS, AR"
"CEDAR PARK, TX"
"BOSSIER CITY, LA"
"VENTURA, CA"
"HATTIESBURG, MS"
"ROCKVILLE, MD"
"FREDERICK, MD"
"MORGANTOWN, WV"
"HICKORY, NC"
"POWDER SPRINGS, GA"
"HOOVER, AL"
"SAINT CLAIR SHORES, MI"
"CONWAY, AR"
"AVONDALE, AZ"
"YPSILANTI, MI"
"JANESVILLE, WI"
"FLOWER MOUND, TX"
"DENHAM SPRINGS, LA"
", CA"
"ROCKY MOUNT, NC"
"ROME, GA"
"CALDWELL, ID"
"LAKEWOOD, NJ"
"HUNTINGTON, WV"
"SANFORD, NC"
"COUNCIL BLUFFS, IA"
"MACOMB, MI"
"CHESTERFIELD, VA"
"NEW BERN, NC"
"PORT ORANGE, FL"
"MASSILLON, OH"
"LITTLE ELM, TX"
"BOERNE, TX"
"COLLEGE STATION, TX"
"STAFFORD, VA"
"BURLESON, TX"
"SANFORD, FL"
"BRYAN, TX"
"SHAWNEE, KS"
"HENDERSONVILLE, NC"
"MANASSAS, VA"
"PASCO, WA"
"LORAIN, OH"
"UPPER MARLBORO, MD"
"REDFORD, MI"
"COLUMBUS, IN"
"POCATELLO, ID"
"CROWN POINT, IN"
"LAKEWOOD, CA"
"WINCHESTER, VA"
"POMONA, CA"
"SAINT JOHNS, FL"
"LARGO, FL"
"JURUPA VALLEY, CA"
"WATERFORD, MI"
"KIRKLAND, WA"
"NORTH CHARLESTON, SC"
"QUEEN CREEK, AZ"
"MAGNOLIA, TX"
"MOUNT JULIET, TN"
"WATERLOO, IA"
"BETHESDA, MD"
"APPLE VALLEY, CA"
"GALVESTON, TX"
"SUNNYVALE, CA"
"LINCOLN, CA"
"DECATUR, AL"
"MANSFIELD, TX"
"SAN LEANDRO, CA"
"BISMARCK, ND"
"BLUFFTON, SC"
"LEBANON, PA"
"WEST COVINA, CA"
"FLORENCE, AL"
"HENDERSONVILLE, TN"
"KINGWOOD, TX"
"RIALTO, CA"
"SPRINGDALE, AR"
"RACINE, WI"
"GLEN ALLEN, VA"
"SPRINGFIELD, VA"
"FUQUAY VARINA, NC"
"ANNAPOLIS, MD"
"ROYAL OAK, MI"
"CORDOVA, TN"
"LAWRENCE, KS"
"BRONX, NY"
"ANTIOCH, TN"
"CONWAY, SC"
"WESTLAND, MI"
"EASLEY, SC"
"ATHENS, AL"
"CASPER, WY"
"MEDINA, OH"
"CANTON, MI"
"IDAHO FALLS, ID"
"SPRING HILL, TN"
"VISTA, CA"
"OSHKOSH, WI"
"MIDLAND, MI"
"CLINTON TOWNSHIP, MI"
"MARTINSBURG, WV"
"EAU CLAIRE, WI"
"PERRIS, CA"
"EDISON, NJ"
"PALM HARBOR, FL"
"PORT ORCHARD, WA"
"CITRUS HEIGHTS, CA"
"ALTOONA, PA"
"HAGERSTOWN, MD"
"FAYETTEVILLE, GA"
"CASA GRANDE, AZ"
"CHERRY HILL, NJ"
"COCOA, FL"
"FEDERAL WAY, WA"
"CRANSTON, RI"
"TAYLOR, MI"
"WAXAHACHIE, TX"
"BRANDON, FL"
"MERIDIAN, MS"
"LILBURN, GA"
"GREENSBURG, PA"
"MIDDLETOWN, OH"
"KANNAPOLIS, NC"
"HAMMOND, IN"
"DALY CITY, CA"
"BRENTWOOD, CA"
"GRANTS PASS, OR"
"PLYMOUTH, MA"
"ROCKLIN, CA"
"LUTZ, FL"
"VALRICO, FL"
"LEBANON, TN"
"MOORE, OK"
"NORWALK, CA"
"SNOHOMISH, WA"
"ROWLETT, TX"
"LAKE ELSINORE, CA"
"STOCKBRIDGE, GA"
"ENID, OK"
"SUN CITY, AZ"
"CONVERSE, TX"
"NAPA, CA"
"COVINGTON, LA"
"ELLICOTT CITY, MD"
"WALDORF, MD"
"DUBUQUE, IA"
"WYLIE, TX"
"MARYSVILLE, WA"
"COEUR D ALENE, ID"
"ELYRIA, OH"
"COMPTON, CA"
"YORBA LINDA, CA"
"CRESTVIEW, FL"
"BRUNSWICK, GA"
"LA PUENTE, CA"
"FARGO, ND"
"DOVER, DE"
"SAN MATEO, CA"
"COMMERCE CITY, CO"
"SMYRNA, GA"
"NORTH AUGUSTA, SC"
"SAMMAMISH, WA"
"GLENDALE, CA"
"GROVE CITY, OH"
"NEW CASTLE, PA"
"NORTH RICHLAND HILLS, TX"
"GLEN BURNIE, MD"
"ZANESVILLE, OH"
"GREENVILLE, NC"
"ANKENY, IA"
"BARTLETT, TN"
"ROCHESTER HILLS, MI"
"LEESBURG, FL"
"CROSSVILLE, TN"
"YUBA CITY, CA"
"BONITA SPRINGS, FL"
"PLEASANTON, CA"
"REDMOND, WA"
"JEFFERSON CITY, MO"
"MARRERO, LA"
"SAN RAMON, CA"
"GRESHAM, OR"
"OVIEDO, FL"
"GIG HARBOR, WA"
"SANTA CRUZ, CA"
"COOKEVILLE, TN"
"BENTON, AR"
"ARLINGTON HEIGHTS, IL"
"SHELBY, NC"
"DUBLIN, OH"
"SHELBY TOWNSHIP, MI"
"BURBANK, CA"
"CHAMPAIGN, IL"
"ALEXANDRIA, LA"
"SEVIERVILLE, TN"
"CHINO HILLS, CA"
"FALLS CHURCH, VA"
"TWIN FALLS, ID"
"LYNNWOOD, WA"
"NEWARK, OH"
"PALM BEACH GARDENS, FL"
"LEVITTOWN, PA"
"SANTA CLARA, CA"
"RICHLAND, WA"
"BOLINGBROOK, IL"
"LA QUINTA, CA"
"STAMFORD, CT"
"ROSWELL, NM"
"PHENIX CITY, AL"
"BELLEVUE, NE"
"SALISBURY, MD"
"POMPANO BEACH, FL"
"DOWNEY, CA"
"BALLWIN, MO"
"MANCHESTER, NH"
"LANCASTER, OH"
"SPRINGFIELD, OR"
"DALTON, GA"
"BERKELEY, CA"
"LAYTON, UT"
"PASADENA, MD"
"CLIFTON, NJ"
"FARMINGTON HILLS, MI"
"WINTER PARK, FL"
"BENTONVILLE, AR"
"NIAGARA FALLS, NY"
"KERNERSVILLE, NC"
"DEARBORN HEIGHTS, MI"
"MAPLE GROVE, MN"
"CAMDEN, NJ"
"POTTSTOWN, PA"
"KYLE, TX"
"PLANTATION, FL"
"VAN NUYS, CA"
"HOUMA, LA"
"BRENTWOOD, TN"
"BLUE SPRINGS, MO"
"TITUSVILLE, FL"
"ALBANY, OR"
"GRANBURY, TX"
"EVANS, GA"
"PALM DESERT, CA"
"DELAWARE, OH"
"RICHMOND, CA"
"FAIRBANKS, AK"
"SCRANTON, PA"
"DOWNERS GROVE, IL"
"JACKSON, NJ"
"WEST COLUMBIA, SC"
"LANCASTER, SC"
"CHAMBERSBURG, PA"
"TULARE, CA"
"CARTERSVILLE, GA"
"PLANT CITY, FL"
"TURLOCK, CA"
"BRIGHTON, CO"
"STUART, FL"
"FORT WALTON BEACH, FL"
"ANNISTON, AL"
"MONROE, MI"
"IRWIN, PA"
"BINGHAMTON, NY"
"SAINT CLOUD, MN"
"NEW SMYRNA BEACH, FL"
"WEST BLOOMFIELD, MI"
"AUBREY, TX"
"WEST HARTFORD, CT"
"LEHI, UT"
"SAN MARCOS, CA"
"CHESTER, VA"
"BUTLER, PA"
"LODI, CA"
"FRIENDSWOOD, TX"
"CAMARILLO, CA"
"OREGON CITY, OR"
"WATERBURY, CT"
"BEAUMONT, CA"
"GREAT FALLS, MT"
"POUGHKEEPSIE, NY"
"GALLATIN, TN"
"PORT ARTHUR, TX"
"EAST SAINT LOUIS, IL"
"SEMINOLE, FL"
"JAMAICA, NY"
"SHEBOYGAN, WI"
"MENTOR, OH"
"PATERSON, NJ"
"SOUTHFIELD, MI"
"WOODLAND HILLS, CA"
"LA CROSSE, WI"
"REDWOOD CITY, CA"
"GOOSE CREEK, SC"
"LUFKIN, TX"
"BROCKTON, MA"
"THOUSAND OAKS, CA"
"LOVELAND, OH"
"SAN RAFAEL, CA"
"KENNER, LA"
"WESTMINSTER, CO"
"LAGRANGE, GA"
"RANCHO CORDOVA, CA"
"LAKEVILLE, MN"
"COSTA MESA, CA"
"HANFORD, CA"
"BILOXI, MS"
"WEST CHESTER, OH"
"DACULA, GA"
"PORT RICHEY, FL"
"LEXINGTON, NC"
"CARROLLTON, GA"
"MIDDLETOWN, DE"
"DANVILLE, CA"
"NOVATO, CA"
"SAINT CHARLES, IL"
"WESLACO, TX"
"CHESTERFIELD, MO"
"OAK LAWN, IL"
"GARNER, NC"
"RIVERDALE, GA"
"MADISON, MS"
"MIDDLEBURG, FL"
"PHARR, TX"
"HUDSON, FL"
"WESTMINSTER, CA"
"HAMPTON, GA"
"LONGWOOD, FL"
"REDLANDS, CA"
"OREM, UT"
"EL DORADO HILLS, CA"
"VIENNA, VA"
"SEBRING, FL"
"CARLISLE, PA"
"CLEARFIELD, UT"
"FERNANDINA BEACH, FL"
"GROVETOWN, GA"
"HANOVER, PA"
"CHINO, CA"
"FOND DU LAC, WI"
"WEST MONROE, LA"
"SOUTH LAKE TAHOE, CA"
"NORTH HOLLYWOOD, CA"
"WELLINGTON, FL"
"WYOMING, MI"
"MISHAWAKA, IN"
"MIAMI GARDENS, FL"
"SPOTSYLVANIA, VA"
"KELLER, TX"
"WAUKEGAN, IL"
"EDMONDS, WA"
"HILTON HEAD ISLAND, SC"
"DESOTO, TX"
"SMYRNA, TN"
"SUN CITY WEST, AZ"
"ENGLEWOOD, CO"
"MASSAPEQUA, NY"
"KINGMAN, AZ"
"LACEY, WA"
"HUTCHINSON, KS"
"PONTIAC, MI"
"PITTSBURG, CA"
"LENOIR, NC"
"AUBURN, AL"
"NEW CASTLE, DE"
"KLAMATH FALLS, OR"
", WA"
"PRESCOTT VALLEY, AZ"
"WALNUT CREEK, CA"
"WENTZVILLE, MO"
"BUENA PARK, CA"
"GOLDEN, CO"
"FARMINGTON, NM"
"ORLAND PARK, IL"
"SICKLERVILLE, NJ"
"FORT WASHINGTON, MD"
"COLUMBUS, MS"
"GAITHERSBURG, MD"
"MATTHEWS, NC"
"VINELAND, NJ"
"FINDLAY, OH"
"COVINA, CA"
"OWASSO, OK"
"WHEATON, IL"
"SAN CLEMENTE, CA"
"SCHERTZ, TX"
"WESTMINSTER, MD"
"MARION, OH"
"HYATTSVILLE, MD"
"EASTVALE, CA"
"MILFORD, CT"
"JEFFERSONVILLE, IN"
"LAGUNA NIGUEL, CA"
"CARSON CITY, NV"
"ROSEVILLE, MI"
"BEL AIR, MD"
"SALINA, KS"
"MANDEVILLE, LA"
"CARSON, CA"
"CASTRO VALLEY, CA"
"NASHUA, NH"
"NORWALK, CT"
"MORRISTOWN, TN"
"ENGLEWOOD, FL"
"MORGANTON, NC"
"PRATTVILLE, AL"
", WV"
"STATE COLLEGE, PA"
"STRONGSVILLE, OH"
"HERNDON, VA"
"FLAGSTAFF, AZ"
"NEW ALBANY, IN"
"PARKERSBURG, WV"
"LA MESA, CA"
"DAVIE, FL"
"TEXARKANA, TX"
"UPLAND, CA"
"ORANGE, TX"
"MERRITT ISLAND, FL"
"SIERRA VISTA, AZ"
"SHERMAN, TX"
"PALO ALTO, CA"
"DOWNINGTOWN, PA"
"CARMICHAEL, CA"
"SHORELINE, WA"
"OCEAN SPRINGS, MS"
"MUSKOGEE, OK"
"CUYAHOGA FALLS, OH"
"HILO, HI"
"NAVARRE, FL"
"WEBSTER, NY"
"WASHINGTON, PA"
"GOSHEN, IN"
"LEESBURG, VA"
"HILLIARD, OH"
"PROVO, UT"
"PORTAGE, MI"
"MONROE, GA"
"PROSPER, TX"
"CANONSBURG, PA"
"FAIRFIELD, CT"
"ASHEBORO, NC"
"WAUSAU, WI"
"GRASS VALLEY, CA"
"PETALUMA, CA"
"TUPELO, MS"
"CORVALLIS, OR"
"CEDAR HILL, TX"
"WOODLAND, CA"
"FOUNTAIN VALLEY, CA"
"WINDER, GA"
"MASON, OH"
"COLUMBIA, MD"

"SPRINGDALE, AR",-94.01898309999999,36.2145404,36.1345404,-94.2589831,36.1745404,-94.13898309999999
"RACINE, WI",-87.66285230000001,42.7661309,42.6861309,-87.90285230000002,42.7261309,-87.78285230000002
"GLEN ALLEN, VA",-77.3863739,37.705978,37.625978,-77.6263739,37.665978,-77.5063739
"SPRINGFIELD, VA",-77.06720359999998,38.8292801,38.7492801,-77.3072036,38.7892801,-77.18720359999999
"FUQUAY VARINA, NC",-78.68001279999999,35.6243235,35.544323500000004,-78.9200128,35.5843235,-78.0001279999999
"ANNAPOLIS, MD",-76.3721829,39.018445299999996,38.9384453,-76.61218290000001,38.9784453,-76.4921829
"ROYAL OAK, MI",-83.0246485,42.5294801,42.4494801,-83.2646485,42.4894801,-83.1446485
"CORDOVA, TN",-89.641545,35.1998391,35.1198391,-89.881545,35.1598391,-89.761545
"LAWRENCE, KS",-95.1152501,39.0116689,38.9316689,-95.3552501,38.9716689,-95.2352501
"BRONX, NY",-73.7448268,40.8847819,40.8047819,-73.98482680000001,40.8447819,-73.8648268
"ANTIOCH, TN",-86.55159479999999,36.0997177,36.0197177,-86.7915948,36.0597177,-86.6715948
"CONWAY, SC",-78.9278143,33.8760034,33.796003400000004,-79.1678143,33.8360034,-79.0478143
"WESTLAND, MI",-83.280211,42.36420399999999,42.28420399999999,-83.520211,42.32420399999999,-83.400211
"ATHENS, AL",-86.8516741,34.8428661,34.762866100000004,-87.0916741,34.8028661,-86.9716741
"CASPER, WY",-106.1780824,42.888709000000006,42.80870900000001,-106.4180824,42.84870900000001,-106.2980824
"CANTON, MI",-83.36211599999999,42.3486444,42.2686444,-83.602116,42.3086444,-83.48211599999999
"SPRING HILL, TN",-86.8100023,35.791179,35.711179,-87.0500023,35.751179,-86.9300023
